Name,Type,Status,Timestamp,nin,last_name,first_name,gender,business-name,random,business_name,email,phone,formState,business-email,business-phone,fields,id-type,id_type,profileId,phone_number,business-types,business_email,business_phone,business_types,business-address,business_address,identification
Profile,personal,active,11/11/24,,,,,,,,,,,,,,,,,,,,,,,,
rasheedat,personal,active,11/13/24,,ajidagba,rasheedat,,,,,,,,,,,,,,,,,,,,,
unyime,personal,active,11/18/24,,tommy,unyime,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,1/6/25,,,,,,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/4/24,,,,male,Armstrong - Ratke,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/1/24,,Ajidagba,Rasheedat,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/20/24,,Ibrahim,Azeez,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,,Lola,Temi,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,,Lola,Temi,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,,Lola,Temi,,,,,,,,,,,,,,,,,,,,,
Bayer Group,personal,active,11/10/24,,Greene,Tonye,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/2/24,,LawalA,HabeebA,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,,Azeez,Ibrahim,Male,,,,azeez@assurdly.com,09055755671,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,,Azeez,Ibrahim,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,,Usman,Gambo,Female,,,,gambo+20@assurdly.com,08162771727,,,,,,,,,,,,,,,
Profile,personal,active,1/6/25,,,,,,,,,,,,,,,,,,,,,,,,
Janet Adefeyisan,personal,active,1/15/25,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/20/24,1234567890,Ibrahim,Azeez,,,,,,,,,,,,,,,,,,,,,
Fred,personal,active,11/21/24,,Teslim,Fred,,,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/20/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/5/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/15/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/13/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,random,2348089722636,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,random,2348089722636,,,,,,,,,,,,
