Name,Type,Status,Timestamp,last_name,first_name,nin,gender,business-name,random,business_name,email,phone,formState,business-email,business-phone,fields,id-type,id_type,profileId,phone_number,business-types,business_email,business_phone,business_types,business-address,business_address,identification
Tonye,personal,active,11/10/24,Greene,Tonye,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/11/24,,,,,,,,,,,,,,,,,,,,,,,,
rasheedat,personal,active,11/13/24,ajidagba,rasheedat,,,,,,,,,,,,,,,,,,,,,,
unyime,personal,active,11/18/24,tommy,unyime,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,1/6/25,,,,,,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/4/24,,,,male,Armstrong - Ratke,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/1/24,Ajidagba,Rasheedat,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/20/24,Ibrahim,Azeez,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Lola,Temi,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Lola,Temi,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Lola,Temi,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/2/24,LawalA,HabeebA,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,Azeez,Ibrahim,,Male,,,,azeez@assurdly.com,09055755671,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,Azeez,Ibrahim,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,Usman,Gambo,,Female,,,,gambo+20@assurdly.com,08162771727,,,,,,,,,,,,,,,
Profile,personal,active,1/6/25,,,,,,,,,,,,,,,,,,,,,,,,
Janet Adefeyisan,personal,active,1/15/25,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/20/24,Ibrahim,Azeez,1234567890,,,,,,,,,,,,,,,,,,,,,
Fred,personal,active,11/21/24,Teslim,Fred,,,,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/20/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/5/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/15/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/13/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,random,2348089722636,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,random,2348089722636,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,random,2348089722636,,,,,,,,,,,,
Profile,personal,active,12/10/24,,,,,,,,,,,tuesday@yopmail.com,+2348162771727,,,,,,,,,,,,
Profile,personal,active,1/6/25,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/11/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/11/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/11/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/12/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/13/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,random,2348089722636,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,random,2348089722636,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,random,2348089722636,,,,,,,,,,,,
Profile,personal,active,12/17/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/18/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/18/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/16/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/16/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/16/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,1/6/25,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/16/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/19/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/19/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/19/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/19/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/19/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/20/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/20/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/23/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/23/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
John,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonyw,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Jerry,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,Male,,,,,,,,,,,,,,,,,,,,
Tutu,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/28/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/31/24,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,state,Kogi,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
Adex,personal,active,11/19/24,Praise,Adex,,,,,,,,,,,,,,,,,,,,,,
Gambo,personal,active,11/25/24,,,,Female,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,
kenny tee,personal,active,1/9/25,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/25/24,Habeeb,Habeeb,1234567890,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/25/24,seun,habeeb,,,,,,,,,,,,,,,,,,,,,,
,personal,active,11/7/24,Micheal,Olamide,,,,,,,,,hab@gmail.com,1231211211,,National ID card,,019308ee-9025-7cca-a550-970e8dd19d5e,07084385638,Sole Proprietorship,,,,Address,,
Tonye,personal,active,11/26/24,,,,male,,,,,,,,,,,,,,,,,,,,
Slate Frett,personal,active,1/9/25,,,,,,,,,,,,,,,,,,,,,,,,
Sunday Testing,personal,active,1/10/25,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,1/2/25,,,,,,,,,,,,,,,,,,,,,,,,
