"ID",Name,Type,Status,Timestamp,business-types,last_name,first_name,nin,rc-number,business-name,business-email,business-address,gender,id_type,rc_number,business_name,business_email,business_phone,business_types,business_address,busines-email,business-phone,id-type
0193690a-97cb-7ffb-8bb2-72387bc91057,Neem,business,active,11/26/24,,,,,,,,,,,,,,,,,,,
01936d0c-0968-755c-bc2f-6a3064511d4e,The Best,business,active,11/27/24,,AJI,RasheedatBus,,,,,,,,,,,,,,,,
01936d31-4d4d-755c-bc30-8317e3172f4c,Profile,business,active,11/27/24,,AJI,RasheedatBus,1234567899,,,,,,,,,,,,,,,
01946411-34d4-7447-abf5-951bb2f39674,Profile,business,active,1/14/25,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,,
01936d5c-8ecd-755c-bc31-68ffb11378f0,Profile,business,active,11/27/24,,Rasheedat1,AJI,1234567899,,,,,,,,,,,,,,,
0193589d-c0c8-7117-98b2-92434500ce4c,Last ,business,active,11/23/24,,,,,,,,,Male,National ID card,123456,My name,email@gmail.com,07060591341,Cooperative (Co-op),address,,,
01935f11-ce69-7ee0-a50c-5619fdb7cda1,Gambo Usman,business,active,11/24/24,,,,,,,,,Female,National ID card,,,gamboltd@yopmail.com,08162771727,Partnership,Gambo street,,,
01935f6b-c966-7ee0-a50c-cb81d33de204,Profile,business,active,11/24/24,,Sunday,Testing,1234567890,,,,,,,,,,,,,,,
01936ff8-fa57-7661-86fe-fa6117d9ad3e,Profile,business,active,11/27/24,,,,,,,,,,,0000000,Hab Busi,h@gmail.com,07053121212,Partnership,Address,,,
01935f11-b611-7ee0-a50c-4597fac785c5,Gambo Usman,business,blacklisted,11/24/24,,,,,,,,,Female,National ID card,,,gamboltd@yopmail.com,08162771727,Partnership,Gambo street,,,
019391b6-0257-7559-8f9d-08d5b712cde1,Profile,business,active,12/4/24,,,,,,,,,,,0000000,Rashco,rasheedat+26@gmail.com,08135194520,Partnership,"Irewole, Kwara State",,,
01938c41-90db-7778-8dbb-78a71012435b,Profile,business,active,12/3/24,,,,,,,,,,,Neem,,,,Partnership,,,,
01938e9a-f930-7778-8dc2-753b1943aec5,Profile,business,blacklisted,12/3/24,,,,,,,,,,,123456,Business Name,b@gmail.com,07060121211,Partnership,Address,,,
01939ca0-e774-7bb0-8d55-0958b6fc5495,Profile,business,active,12/6/24,,,,,,,,,,,0000000,Neem,hi@neem.co,,Partnership,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,
0193876a-8bff-7ccf-8883-b41344a960ce,Profile,business,active,12/2/24,,,,,,,,,,,Neem,Rashco,rasheedat+15@gmail.com,08135194520,Partnership,"Irewole, Kwara State",,,
0193a180-c007-7cc9-9152-e36bda371dfe,Profile,business,active,12/7/24,,,,,,,,,,,,,,,,,random,2348089722636,
0193a184-8b10-766e-9fb6-c4c22ff73c4e,Profile,business,active,12/7/24,,,,,,,random,,,,,,,,,,,2348089722636,
0193bab8-e1b0-733e-be8e-8f71bfe9de42,Profile,business,active,12/12/24,Sole Proprietorship,,,,Neem,,,,,,,,,,,,,,
0193b4ee-4dd8-711f-a669-22083336f7c7,Profile,business,active,12/11/24,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2347039627810,
01946919-e901-777b-9e0d-41b41a0ef605,Profile,business,active,1/15/25,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,,
01969253-4a3d-7884-93b5-337393233d0c,Ortiz - Cremin Business,business,active,5/2/25,,,,,,,,,,,,,,,,,,,
0193bf67-9543-7ddc-a0e4-4924f1f80551,Profile,business,active,12/13/24,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2347039627810,
0193cf13-23e4-766c-bac9-530dcc868b40,Profile,business,active,12/16/24,Partnership,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2349055755671,
01946a2c-0ce7-777b-9e12-03bd3232ec33,Profile,business,active,1/15/25,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,,
0193d028-dc66-799e-b92c-4d4f884b4213,Profile,business,active,12/16/24,Limited Liability Partnership (LLP),,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,,
0193dfea-7789-7ccf-ae9b-852a1756931e,Profile,business,active,12/19/24,Partnership,,,,Neem,,,,,,,,,,,,,,
0193f3bc-c05a-799f-8083-ab0aa96cb4a0,Profile,business,active,12/23/24,Cooperative (Co-op),,,,Neem,,,,,,,,,,,,,,
01935066-c8a8-7117-98ad-cede6af4d84b,Tonye,business,active,11/21/24,,,,,,,,,,,,,,,,,,,
019417f5-4a62-7440-abcb-3628e10520ae,Profile,business,active,12/30/24,,,,,,,,,,,,,,,,,,,
019417f8-8bd8-7440-abcb-508676cf572e,Profile,business,active,12/30/24,Sole Proprietorship,,,,1234848487474,Yisau Enterprises,abdussamadenterprise@gmail.com,Sweet Sensation,,,,,,,,,,+2349133779826,
019417fc-2545-7440-abcb-72b29f2f287a,Profile,business,active,12/30/24,Sole Proprietorship,,,,12388886586868,Yisau Enterprises,abdussamad@gmail.com,High-rise Block B,,,,,,,,,,+2349133779814,
019419f8-a61b-7995-8ec8-e17e87bfb260,Profile,business,active,12/30/24,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2348123884099,
01941ce9-76d5-7995-8ecc-4cc8e9b8736b,Profile,business,active,12/31/24,Limited Liability Partnership (LLP),,,,0000000,Testing Business,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2349056789012,
01946b13-dee8-7440-81b2-b395557d3f72,Profile,business,active,1/15/25,Limited Liability Partnership (LLP),,,,4567876,Faill,frill@yopmail.com,2 kene street,,,,,,,,,,+23438096590,
01935895-3338-7117-98b2-50245fdc2ca1,Habeeb 2 Busi,business,active,11/23/24,,,,,,,,,Male,National ID card,123456,Hab,co@gmail.com,07060591341,Cooperative (Co-op),coaddress,,,
0193508a-a72a-7117-98ae-5a43ab220ad4,Tutu,business,active,11/21/24,,,,,,,,,,,,,,,,,,,
01935f11-ee55-7ee0-a50c-66704d12e13b,Gambo Usman,business,active,11/24/24,,,,,,,,,Female,National ID card,,,gamboltd@yopmail.com,08162771727,Partnership,Gambo street,,,
01935f15-c989-7ee0-a50c-7092f7869064,Gambo Usman,business,active,11/24/24,,,,,,,,,Female,National ID card,,,gamboltd@yopmail.com,08162771727,Partnership,Gambo street,,,
01936306-b3d4-7115-b8e6-d779eab2794d,Naima,business,active,11/25/24,Sole proprietorship,,,,,,business@gmail.com,Address,Male,,,,,,,,,08162771727,NIN
0193650d-fd52-7115-b8e9-b1b35f96f13e,Habeeb,business,active,11/25/24,,,,,,,,,,National ID card,,,hab@gmail.com,07060121212,,Hab address,,,
01946b14-1593-7440-81b2-d0c3057ad760,Profile,business,active,1/15/25,Limited Liability Partnership (LLP),,,,4567876,Faill,frill@yopmail.com,2 kene street,,,,,,,,,,+23438096590,
01936514-e113-7115-b8e9-fb12c4eda2a6,Profile,business,active,11/25/24,,,,,,,,,Male,,,,,,,,,,
019367b5-b58b-7115-b8f1-f160882f54e7,The Best,business,active,11/26/24,,Ibrahim,Azeez,,,,,,,,,,,,,,,,
0193685c-caf3-7dd8-85d4-a058f43f13fe,aji bukola,business,active,11/26/24,,,,,,,,,Female,National ID card,,,rasheedat+5@assurdly.com,08135194520,Partnership,"irewolede, martin ojo street",,,
0193685c-dfe3-7dd8-85d4-b17299899c16,aji bukola,business,active,11/26/24,,,,,,,,,Female,National ID card,,,rasheedat+5@assurdly.com,08135194520,Partnership,"irewolede, martin ojo street",,,
01946b14-1d06-7440-81b2-f7f5d897e693,Profile,business,active,1/15/25,Limited Liability Partnership (LLP),,,,4567876,Faill,frill@yopmail.com,2 kene street,,,,,,,,,,+23438096590,
01946b16-4059-7440-81b3-3eb892b36b02,Profile,business,active,1/15/25,Nonprofit Organization,,,,4567877,thank you,thank@yopmail.com,2 kene street,,,,,,,,,,+23438096643,
0195f7d4-ce41-7887-ab2a-beea8b78e08a,"Padberg, Frami and Jakubowski Business",business,active,4/2/25,,,,,,,,,,,,,,,,,,,
01944bf4-8240-777f-a933-0c0389743b4f,Profile,business,active,1/9/25,Sole Proprietorship,,,,0000000,Faill,dreaa@yopmail.com,2 kene street,,,,,,,,,,+23438092123,
0193cfd6-4c17-766c-bad1-dd478fa5c01c,Profile,business,active,12/16/24,,,,,,,,,,,,,,,,,,,
01941cf5-fdd0-7995-8ecc-bf6084fc8ad2,Profile,business,active,12/31/24,Partnership,,,,1234567,Testing manual business,testingmanualbusiness@mailinator.com,Eko Bridge,,,,,,,,,,+2349087654312,
019426ad-d4ea-7ccf-bd52-9bdbf567c6a1,Profile,business,active,1/2/25,Partnership,,,,0000000,Neem,neem@yopmail.com,2 kene street,,,,,,,,,,+23438096579,
019426b2-348d-7ccf-bd52-ddcc96d8ada5,Profile,business,active,1/2/25,Limited Liability Partnership (LLP),,,,0000000,Fail,frail@yopmail.com,2 kene stret lagos,,,,,,,,,,+23438096599,
