Name,Type,Status,Timestamp,first_name,last_name,identification,nin,gender,random,business_name,business_address,business_phone,id_type,business_types,business_email,phone_number,profileId,fields,business-address,business-phone,id-type,business-types,business-email,email,phone,formState,employment-status,sector,occupation,currency,monthly-income
Gambo,personal,active,11/19/24,Gambo,Usman,National ID card,,,,,,,,,,,,,,,,,,,,,,,,,
Azeez-Profile,personal,active,10/5/24,Azeez,Ibrahim,,1234567890,,,,,,,,,,,,,,,,,,,,,,,,
Azeez-Profile,personal,inactive,10/5/24,Azeez,Ibrahim,,1234567890,,,,,,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/4/24,,,,,male,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/10/24,Tonye,Greene,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/11/24,Azeez,Ibrahim,,1234567890,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/11/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rasheedat,personal,active,11/13/24,rasheedat,ajidagba,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/15/24,Azeez,Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,,,
unyime,personal,active,11/18/24,unyime,tommy,,,,,,,,,,,,,,,,,,,,,,,,,,
Adex,personal,active,11/19/24,Adex,Praise,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/20/24,Azeez,Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/20/24,Azeez,Ibrahim,,1234567890,,,,,,,,,,,,,,,,,,,,,,,,
Fred,personal,active,11/21/24,Fred,Teslim,,,,,,,,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonyw,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
